show_id,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
s581,s690,s673,s671,s672,s4634
s582,s1085,s8356,s566,s55,s4714
s583,s545,s2747,s6985,s5209,s4219
s584,s659,s728,s8009,s6090,s7047
s585,s1715,s1561,s6730,s6424,s1503
s586,s1021,s4425,s8766,s7796,s3876
s587,s4010,s4008,s3290,s3496,s3062
s588,s7515,s1361,s5758,s1487,s8696
s589,s2441,s3554,s7772,s7784,s7782
s590,s4788,s5202,s3535,s6242,s5513
s591,s772,s4527,s3552,s7756,s1802
s592,s3987,s959,s5220,s3112,s1256
s593,s8704,s595,s7480,s8755,s8339
s594,s5220,s6329,s3297,s5274,s629
s595,s5694,s5245,s4947,s5651,s593
s596,s8111,s498,s8597,s569,s6640
s597,s1457,s7176,s6494,s137,s3615
s598,s6351,s4907,s6352,s4990,s1050
s599,s1404,s7112,s4171,s8695,s803
s600,s1241,s6900,s7151,s7551,s7086
s601,s8077,s2935,s3746,s332,s8525
s602,s1769,s603,s929,s604,s2745
s603,s604,s1769,s602,s1449,s929
s604,s1769,s603,s1449,s8478,s602
s605,s520,s3793,s4627,s1067,s6008
s606,s8042,s7171,s2209,s4920,s4386
s607,s1162,s1699,s6682,s6607,s2871
s608,s963,s8422,s3987,s4827,s7066
s609,s135,s6897,s5894,s7715,s8449
s610,s271,s6099,s1377,s2347,s7695
s611,s2745,s3171,s2798,s753,s4033
s612,s613,s1949,s213,s968,s8252
s613,s612,s3324,s4275,s5754,s2798
s614,s1678,s3300,s6117,s4488,s1826
s615,s175,s6348,s3231,s4058,s6815
s616,s8012,s173,s3146,s3576,s7887
s617,s5887,s775,s8175,s3838,s7813
s618,s4069,s1373,s7796,s8466,s4425
s619,s8528,s7963,s6823,s2322,s3074
s620,s4520,s6739,s1071,s669,s8283
s621,s138,s5995,s6770,s7868,s2010
s622,s8385,s3924,s8277,s5219,s5290
s623,s1096,s2135,s2829,s8196,s6888
s624,s7883,s912,s3250,s7884,s4074
s625,s5773,s8526,s8287,s560,s7906
s626,s8346,s4277,s6560,s4617,s2922
s627,s4204,s7349,s2328,s6169,s4175
s628,s3881,s4665,s3446,s4485,s2411
s629,s1884,s1049,s98,s937,s594
s630,s1436,s5981,s2514,s5547,s3433
s631,s5259,s6421,s30,s7480,s7684
s632,s4244,s7271,s7332,s6243,s195
s633,s149,s3900,s1571,s2070,s8431
s634,s6672,s2577,s3957,s3754,s1809
s635,s2330,s1433,s1902,s1661,s8732
s636,s2506,s5032,s8265,s6552,s2345
s637,s7052,s5671,s3186,s7617,s2704
s638,s6413,s4129,s3373,s6009,s8313
s640,s5078,s4770,s6395,s4532,s4232
s641,s769,s914,s2279,s6992,s2899
s642,s5467,s4671,s743,s4074,s6235
